id_municipio,nombre,id_provincia
478,CALDERS,9
479,CALDES DE MONTBUI,9
480,CALELLA,9
481,CALLDETENES,9
482,CANET DE MAR,9
483,CANOVELLES,9
484,CANYELLES,9
485,CARDEDEU,9
486,CARDONA,9
487,CASTELLAR DEL VALLÈS,9
488,CASTELLBELL I EL VILAR,9
489,CASTELLBISBAL,9
490,CASTELLDEFELS,9
491,CASTELLET I LA GORNAL,9
492,CASTELLGALÍ,9
493,CASTELLTERÇOL,9
494,CENTELLES,9
495,CERCS,9
496,CERDANYOLA DEL VALLÈS,9
497,CERVELLÓ,9
498,COLLBATÓ,9
499,CORNELLÀ DE LLOBREGAT,9
500,CUBELLES,9
501,DOSRIUS,9
502,ESPARREGUERA,9
503,ESPLUGUES DE LLOBREGAT,9
504,FOGARS DE LA SELVA,9
505,FRANQUESES DEL VALLÈS (LES),9
506,GARRIGA (LA),9
507,GAVÀ,9
508,GELIDA,9
509,GIRONELLA,9
510,GRANADA (LA),9
511,GRANOLLERS,9
512,GUALBA,9
513,GUARDIOLA DE BERGUEDÀ,9
514,GURB,9
515,HOSPITALET DE LLOBREGAT (L'),9
516,IGUALADA,9
517,JORBA,9
518,LLAGOSTA (LA),9
519,LLIÇÀ D'AMUNT,9
520,LLIÇÀ DE VALL,9
521,LLINARS DEL VALLÈS,9
522,MALGRAT DE MAR,9
523,MALLA,9
524,MANLLEU,9
525,MANRESA,9
526,MARTORELL,9
527,MASIES DE VOLTREGÀ (LES),9
528,MASNOU (EL),9
529,MASQUEFA,9
530,MATARÓ,9
531,MOIÀ,9
532,MOLINS DE REI,9
533,MOLLET DEL VALLÈS,9
534,MONISTROL DE MONTSERRAT,9
535,MONTCADA I REIXAC,9
536,MONTGAT,9
537,MONTMANEU,9
538,MONTMELÓ,9
539,MONTORNÈS DEL VALLÈS,9
540,MONTSENY,9
541,NAVARCLES,9
542,NAVÀS,9
543,ÒDENA,9
544,OLÈRDOLA,9
545,OLESA DE MONTSERRAT,9
546,OLOST,9
547,PACS DEL PENEDÈS,9
548,PALAFOLLS,9
549,PALAU-SOLITÀ I PLEGAMANS,9
550,PALLEJÀ,9
551,PALMA DE CERVELLÓ (LA),9
552,PAPIOL (EL),9
553,PARETS DEL VALLÈS,9
554,PIERA,9
555,PINEDA DE MAR,9
556,PLA DEL PENEDÈS (EL),9
557,POBLA DE CLARAMUNT (LA),9
558,POBLA DE LILLET (LA),9
559,POLINYÀ,9
560,PONT DE VILOMARA I ROCAFORT (EL),9
561,PRAT DE LLOBREGAT (EL),9
562,PRATS DE LLUÇANÈS,9
563,PREMIÀ DE DALT,9
564,PREMIÀ DE MAR,9
565,PUIG-REIG,9
566,RIPOLLET,9
567,ROCA DEL VALLÈS (LA),9
568,RODA DE TER,9
569,RUBÍ,9
570,SABADELL,9
571,SALDES,9
572,SALLENT,9
573,SANT ADRIÀ DE BESÒS,9
574,SANT ANDREU DE LA BARCA,9
575,SANT ANDREU DE LLAVANERES,9
576,SANT ANTONI DE VILAMAJOR,9
577,SANT BOI DE LLOBREGAT,9
578,SANT CELONI,9
579,SANT CUGAT DEL VALLÈS,9
580,SANT CUGAT SESGARRIGUES,9
581,SANT ESTEVE SESROVIRES,9
582,SANT FELIU DE LLOBREGAT,9
583,SANT FOST DE CAMPSENTELLES,9
584,SANT FRUITÓS DE BAGES,9
585,SANT ISCLE DE VALLALTA,9
586,SANT JOAN DE VILATORRADA,9
587,SANT JOAN DESPÍ,9
588,SANT JUST DESVERN,9
589,SANT LLORENÇ D'HORTONS,9
590,SANT MARTÍ D'ALBARS,9
591,SANT MARTÍ SARROCA,9
592,SANT PERE DE RIBES,9
593,SANT PERE DE RIUDEBITLLES,9
594,SANT PERE DE TORELLÓ,9
595,SANT PERE SALLAVINERA,9
596,SANT POL DE MAR,9
597,SANT QUIRZE DEL VALLÈS,9
598,SANT QUIRZE SAFAJA,9
599,SANT SADURNÍ D'ANOIA,9
600,SANT SALVADOR DE GUARDIOLA,9
601,SANT VICENÇ DE CASTELLET,9
602,SANT VICENÇ DE MONTALT,9
603,SANT VICENÇ DE TORELLÓ,9
604,SANT VICENÇ DELS HORTS,9
605,SANTA COLOMA DE GRAMENET,9
606,SANTA EULÀLIA DE RONÇANA,9
607,SANTA MARGARIDA DE MONTBUI,9
608,SANTA MARGARIDA I ELS MONJOS,9
609,SANTA MARIA DE MIRALLES,9
610,SANTA MARIA DE PALAUTORDERA,9
611,SANTA PERPÈTUA DE MOGODA,9
612,SANTA SUSANNA,9
613,SANTPEDOR,9
614,SENTMENAT,9
615,SEVA,9
616,SITGES,9
617,SUBIRATS,9
618,SÚRIA,9
619,TAGAMANENT,9
620,TEIÀ,9
621,TERRASSA,9
622,TONA,9
623,TORDERA,9
624,TORELLÓ,9
625,TORRE DE CLARAMUNT (LA),9
626,TORRELLES DE LLOBREGAT,9
627,VACARISSES,9
628,VALLGORGUINA,9
629,VALLIRANA,9
630,VALLROMANES,9
631,VIC,9
632,VILADECANS,9
633,VILADECAVALLS,9
634,VILAFRANCA DEL PENEDÈS,9
635,VILANOVA DEL VALLÈS,9
636,VILANOVA I LA GELTRÚ,9
637,VILASSAR DE DALT,9
638,VILASSAR DE MAR,9
639,ABADIÑO,10
640,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,10
641,ALONSOTEGI,10
642,AMOREBIETA-ETXANO,10
643,ARRIGORRIAGA,10
644,ARTEA,10
645,BAKIO,10
646,BALMASEDA,10
647,BARAKALDO,10
648,BASAURI,10
649,BERANGO,10
650,BERMEO,10
651,BERRIZ,10
652,BILBAO,10
653,DERIO,10
654,DURANGO,10
655,ELORRIO,10
656,ERANDIO,10
657,"ETXEBARRI, ANTEIGLESIA DE SAN ESTEBAN-ETXEBARRI DONEZTEBEKO",10
658,GALDAKAO,10
659,GERNIKA-LUMO,10
660,GETXO,10
661,GORDEXOLA,10
662,GORLIZ,10
663,GÜEÑES,10
664,IGORRE,10
665,IURRETA,10
666,IZURTZA,10
667,KARRANTZA HARANA/VALLE DE CARRANZA,10
668,LARRABETZU,10
669,LEIOA,10
670,LEKEITIO,10
671,LEMOA,10
672,LOIU,10
673,MALLABIA,10
674,MARKINA-XEMEIN,10
675,MUNDAKA,10
676,MUNGIA,10
677,MUXIKA,10
678,OROZKO,10
679,ORTUELLA,10
680,OTXANDIO,10
681,PLENTZIA,10
682,PORTUGALETE,10
683,SANTURTZI,10
684,SESTAO,10
685,SOPELANA,10
686,SOPUERTA,10
687,UGAO-MIRABALLES,10
688,URDULIZ,10
689,URDUÑA-ORDUÑA,10
690,VALLE DE TRÁPAGA-TRAPAGARAN,10
691,ZALLA,10
692,ZAMUDIO,10
693,ZEANURI,10
694,ZIERBENA,10
695,AMEYUGO,11
696,ARANDA DE DUERO,11
697,ARCOS,11
698,BALBASES (LOS),11
699,BASCONCILLOS DEL TOZO,11
700,BELORADO,11
701,BERBERANA,11
702,BRIVIESCA,11
703,BUNIEL,11
704,BURGOS,11
705,CALERUEGA,11
706,CARCEDO DE BURGOS,11
707,CARDEÑAJIMENO,11
708,CASTRILLO DE LA VEGA,11
709,CASTROJERIZ,11
710,CILLERUELO DE ABAJO,11
711,CONDADO DE TREVIÑO,11
712,ESPINOSA DE LOS MONTEROS,11
713,ESTÉPAR,11
714,FONTIOSO,11
715,FRANDOVÍNEZ,11
716,FUENTECÉN,11
717,FUENTESPINA,11
718,GUMIEL DE IZÁN,11
719,HUERTA DE REY,11
720,LERMA,11
721,MADRIGALEJO DEL MONTE,11
722,MEDINA DE POMAR,11
723,MELGAR DE FERNAMENTAL,11
724,MERINDAD DE MONTIJA,11
725,MERINDAD DE RÍO UBIERNA,11
726,MERINDAD DE SOTOSCUEVA,11
727,MILAGROS,11
728,MIRANDA DE EBRO,11
729,OLMEDILLO DE ROA,11
730,OÑA,11
731,OQUILLAS,11
732,PALACIOS DE LA SIERRA,11
733,PARDILLA,11
734,PUEBLA DE ARGANZÓN (LA),11
735,QUINTANAPALLA,11
736,QUINTANAR DE LA SIERRA,11
737,QUINTANILLA VIVAR,11
738,QUINTANILLAS (LAS),11
739,REVILLA Y AHEDO (LA),11
740,ROA,11
741,RUBENA,11
742,SALAS DE LOS INFANTES,11
743,SANTA MARÍA DEL CAMPO,11
744,SARRACÍN,11
745,SASAMÓN,11
746,SOTRESGUDO,11
747,TRESPADERNE,11
748,VADOCONDES,11
749,VALLE DE LOSA,11
750,VALLE DE MENA,11
751,VALLE DE SEDANO,11
752,VALLE DE TOBALINA,11
753,VALLE DE VALDEBEZANA,11
754,VALLE DE VALDELUCIO,11
755,VILLADIEGO,11
756,VILLAGONZALO PEDERNALES,11
