id_localidad,nombre,id_municipio
543,VILLANUEVA DEL FRESNO,401
544,PALAZUELO,402
545,PUEBLA DE ALCOLLARIN,402
546,VILLAR DEL REY,403
547,ZAFRA,404
548,ZALAMEA DE LA SERENA,405
549,ZARZA (LA),406
550,ALAIOR,407
551,ALARO,408
552,ALCUDIA,409
553,PORT D'ALCUDIA,409
554,PLATJA D'ALCUDIA,409
555,ALGAIDA,410
556,ANDRATX,411
557,PORT D'ANDRATX,411
558,ARTA,412
559,BINISSALEM,413
560,BUNYOLA,414
561,CALVIA,415
562,PALMANOVA,415
563,PORRASSA (SA),415
564,COSTA DE LA CALMA,415
565,SANTA PONÇA,415
566,CAMPANET,416
567,CAMPOS,417
568,CAPDEPERA,418
569,CIUTADELLA DE MENORCA,419
570,EIVISSA,420
571,ESCORCA,421
572,ESPORLES,422
573,FELANITX,423
574,PORTOCOLOM,423
575,FERRERIES,424
576,SANT FRANCESC FORMENTERA,425
577,INCA,426
578,LLOSETA,427
579,LLUCMAJOR,428
580,ARENAL (S'),428
581,PALMERES (LES),428
582,MAO,429
583,MANACOR,430
584,PORTO CRISTO,430
585,CABANETA (SA),431
586,MARRATXINET,431
587,MERCADAL (ES),432
588,MONTUIRI,433
589,MURO,434
590,PLATJA DE MURO,434
591,PALMA,435
592,CAN PASTILLA,435
593,PLATJA DE PALMA,435
594,SON SANT JOAN,435
595,CASA BLANCA (SA),435
596,ARANJASSA (S'),435
597,PETRA,436
598,POBLA (SA),437
599,POLLENÇA,438
600,PORRERES,439
601,SALINES (SES),440
602,COLONIA DE SANT JORDI,440
603,SANT ANTONI DE PORTMANY,441
604,SANT RAFEL,441
605,SANT JOAN,442
606,SANT JOAN DE LABRITJA,443
607,SANT JOSEP DE SA TALAIA,444
608,SANT LLORENÇ DES CARDASSAR,445
609,SON MORO,445
610,SANT LLUIS,446
611,SANTA EUGENIA,447
612,SANTA EULALIA,448
613,SANTA GERTRUDIS,448
614,CA'N PICAFORT,449
615,SANTA MARIA DEL CAMI,450
616,SANTANYI,451
617,CALA D'OR,451
618,SENCELLES,452
619,SINEU,453
620,SOLLER,454
621,SON SERVERA,455
622,VALLDEMOSSA,456
623,VILAFRANCA DE BONANY,457
624,ENTITAT EST D'ABRERA,458
625,ABRERA,458
626,ALELLA,459
627,AMETLLA DEL VALLES (L'),460
628,SERRAT DE L'OCATA,460
629,ARENYS DE MAR,461
630,ARENYS DE MUNT,462
631,ARGENTONA,463
632,ARTES,464
633,AVINYO,465
634,BADALONA,466
635,BADIA DEL VALLES,467
636,BALSARENY,468
637,BARBERA DEL VALLES,469
638,BARCELONA,470
639,BEGUES,471
640,BERGA,472
641,RIERAL DE BIGUES,473
642,BRUC (EL),474
643,CABRERA DE MAR,475
644,CABRILS,476
645,CALAF,477
646,CALDERS,478
647,CALDES DE MONTBUI,479
648,CALELLA,480
649,CALLDETENES,481
650,CANET DE MAR,482
651,CANOVELLES,483
652,CANYELLES,484
653,CARDEDEU,485
654,CARDONA,486
655,CASTELLAR DEL VALLES,487
656,AIRESOL,487
657,CASTELLBELL I EL VILAR,488
658,CASTELLBISBAL,489
659,AREA INDUSTRIAL DEL LLOBREGAT,489
660,POLIGON IND. SANT VICENÇ,489
661,CASTELLDEFELS,490
662,CASTELLET I LA GORNAL,491
663,CASTELLGALI,492
664,CASTELLTERÇOL,493
665,CENTELLES,494
666,CERCS,495
667,CERDANYOLA DEL VALLES,496
668,CERVELLO,497
669,COLLBATO,498
670,CORNELLA DE LLOBREGAT,499
671,CUBELLES,500
672,DOSRIUS,501
673,ESPARREGUERA,502
674,ESPLUGUES DE LLOBREGAT,503
675,FOGARS DE LA SELVA,504
676,BELLAVISTA,505
677,FRANQUESES DEL VALLES (LES),505
678,GARRIGA (LA),506
679,GAVA,507
680,GELIDA,508
681,GIRONELLA,509
682,GRANADA (LA),510
683,GRANOLLERS,511
684,GUALBA DE BAIX,512
685,GUARDIOLA DE BERGUEDA,513
686,GURB,514
687,HOSPITALET DE LLOBREGAT (L'),515
688,IGUALADA,516
689,JORBA,517
690,LLAGOSTA (LA),518
691,LLIÇA D'AMUNT,519
692,LLIÇA DE VALL,520
693,LLINARS DEL VALLES,521
694,MALGRAT DE MAR,522
695,MALLA,523
696,MANLLEU,524
697,MANRESA,525
698,MARTORELL,526
699,MASIES DE VOLTREGA (LES),527
700,MASNOU (EL),528
701,MASQUEFA,529
702,MATARO,530
703,MOIA,531
704,MOLINS DE REI,532
705,MOLLET DEL VALLES,533
706,MONISTROL DE MONTSERRAT,534
707,MONTCADA CENTRE,535
708,CAN CUIAS,535
709,MONTGAT,536
710,MONTMANEU,537
711,MONTMELO,538
712,MONTORNES CENTRE,539
713,MONTORNES NORD,539
714,MONTSENY,540
715,NAVARCLES,541
716,NAVAS,542
717,ODENA,543
718,SANT PERE MOLANTA,544
719,OLÈRDOLA,544
720,OLESA DE MONTSERRAT,545
721,OLOST,546
722,PACS DEL PENEDES,547
723,PALAFOLLS,548
724,SANT GENIS DE PALAFOLLS,548
725,PALAU-SOLITA I PLEGAMANS,549
726,POLIGON INDUSTRIAL RIERA DE CALDES,549
727,PALLEJA,550
728,PALMA DE CERVELLO,551
729,PAPIOL (EL),552
730,PARETS DEL VALLES,553
731,PIERA,554
732,PINEDA DE MAR,555
733,PLA DEL PENEDES (EL),556
734,POBLA DE CLARAMUNT (LA),557
735,POBLA DE LILLET (LA),558
736,POLINYA,559
737,PONT VILOMARA I ROCAFORT,560
738,PRAT DE LLOBREGAT (EL),561
739,PRATS DE LLUÇANES,562
740,PUIG DE PEDRA-SOT DEL PI,563
741,PREMIA DE MAR,564
742,PUIG-REIG,565
743,COLONIA VIDAL,565
744,RIPOLLET,566
745,ROCA DEL VALLES (LA),567
746,SANTA AGNES DE MALANYANES,567
747,RODA DE TER,568
748,RUBI,569
749,SABADELL,570
750,SALDES,571
751,SALLENT,572
752,CABRIANES,572
753,SANT ADRIA DE BESOS,573
754,SANT ANDREU DE LA BARCA,574
755,SANT ANDREU DE LLAVANERES,575
756,SANT ANTONI DE VILAMAJOR,576
757,SANT BOI DE LLOBREGAT,577
758,SANT CELONI,578
759,BATLLORIA (LA),578
760,SANT CUGAT DEL VALLES,579
761,SANT CUGAT SESGARRIGUES,580
762,SANT ESTEVE SESROVIRES,581
763,CA N'AMAT,581
764,SANT FELIU DE LLOBREGAT,582
765,SANT FOST CAMPSENTELLES,583
766,SANT FRUITOS DE BAGES,584
767,SANT ISCLE DE VALLALTA,585
768,SANT JOAN DE VILATORRADA,586
769,SANT MARTI DE TORRUELLA,586
770,SANT JOAN DESPI,587
771,SANT JUST DESVERN,588
772,URB. VINYA DEL POLLASTRE,589
773,SANT MARTI D'ALBARS,590
774,SANT MARTI SARROCA,591
775,SANT PERE DE RIBES,592
776,SANT PERE DE RIUDEBITLLES,593
777,SANT PERE DE TORELLO,594
778,SANT PERE SALLAVINERA,595
779,SANT POL DE MAR,596
780,SANT QUIRZE DEL VALLES,597
781,VALLES PARC,597
782,POBLE SEC,597
783,SANT QUIRZE SAFAJA,598
784,SANT SADURNI D'ANOIA,599
785,SANT SALVADOR GUARDIOLA,600
786,SANT VICENÇ DE CASTELLET,601
787,SANT VICENÇ DE MONTALT,602
788,SANT VICENÇ DE TORELLO,603
789,SANT VICENÇ DELS HORTS,604
790,SANTA COLOMA DE GRAMENET,605
791,SANTA EULALIA DE RONÇANA,606
792,SANTA MARGARIDA MONTBUI,607
793,MONJOS (ELS),608
794,SANTA MARIA DE MIRALLES,609
795,SANTA MARIA DE PALAUTORDERA,610
796,SANTA PERPETUA DE MOGODA,611
797,SANTIGA,611
798,SANTA SUSANNA,612
799,CAN TORRENT-ALTA MARESMA-CAN GELAT,612
800,SANTPEDOR,613
801,SENTMENAT,614
802,SANT MIQUEL DE BALENYA,615
803,SITGES,616
804,SUBIRATS,617
805,SURIA,618
806,TAGAMANENT,619
807,TEIA CENTRE,620
808,VICTOR FONT GUAL,620
809,TERRASSA,621
810,TONA,622
811,TORDERA,623
812,TORELLO,624
813,CA L'ANTON,625
814,TORRELLES DE LLOBREGAT,626
815,VACARISSES,627
816,POLIGON INDUSTRIAL CAN TORRELLA,627
817,VALLGORGUINA,628
818,LLEDONER (EL),629
819,VALLIRANA PARC,629
820,VALLROMANES,630
821,VIC,631
822,VILADECANS,632
823,VILADECAVALLS,633
824,CAN TRIAS INDUSTRIAL,633
825,VILAFRANCA DEL PENEDES,634
826,VILANOVA DEL VALLES,635
827,VILANOVA I LA GELTRU,636
828,VILASSAR DE DALT,637
829,VILASSAR DE MAR,638
830,ABADIÑO-ZELAIETA,639
831,ABANTO,640
832,ALONSOTEGI,641
833,AMOREBIETA,642
834,ARRIGORRIAGA,643
835,ELEJABEITIA,644
836,BASIGO,645
837,BALMASEDA,646
838,SAN VICENTE DE BARAKALDO,647
839,ARIZGOITI,648
840,BASAURI,648
841,BERANGO,649
842,BERMEO,650
843,BERRIZ-OLAKUETA,651
844,EITUA,651
845,BILBAO,652
846,ALDEKONA (SAN ISIDRO),653
847,DERIO,653
848,DURANGO,654
849,ELORRIO,655
850,ERANDIO-GOIKOA,656
851,ETXEBARRI,657
852,ERLECHES,658
853,ELEXALDE GALDAKAO,658
854,USANSOLO,658
855,GERNIKA-LUMO,659
856,ANDRA MARI,660
857,ALGORTA,660
858,ZUBIETE,661
859,URESARANTZE AUZOA,662
860,SODUPE,663
861,IGORRE,664
862,IURRETA,665
863,IZURZA,666
864,CARRANZA,667
865,LARRABETZU,668
866,LEIOA,669
867,LEKEITIO,670
868,LEMOA,671
869,ELOTXELERRI,672
870,MALLABIA,673
871,MARKINA-XEMEIN,674
872,MUNDAKA,675
873,MUNGIA,676
874,ATXURI,676
875,BILLELA,676
876,LARRAURI,676
877,USPARITXA,677
878,OROZKO,678
879,ORTUELLA,679
880,OTXANDIO,680
881,PLENTZIA,681
882,PORTUGALETE,682
883,SANTURTZI,683
884,BALPARDA,683
885,SESTAO,684
886,MOREAGA,685
887,SOPUERTA,686
888,UGAO-MIRABALLES,687
889,URDULIZ,688
890,ORDUÑA,689
891,VALLE DE TRAPAGA,690
892,TRAPAGARAN,690
893,ZALLA,691
894,ZAMUDIO,692
895,ALTZUAGA,693
896,EL PUERTO,694
897,AMEYUGO,695
898,ARANDA DE DUERO,696
899,ARCOS,697
900,BALBASES (LOS),698
901,BASCONCILLOS DEL TOZO,699
902,BELORADO,700
903,BERBERANA,701
904,BRIVIESCA,702
905,BUNIEL,703
906,BURGOS,704
907,VILLATORO,704
908,VILLAFRIA,704
909,VILLAYUDA O LA VENTILLA,704
910,CALERUEGA,705
911,CARCEDO DE BURGOS,706
912,CARDEÑAJIMENO,707
913,CASTRILLO DE LA VEGA,708
914,CASTROJERIZ,709
915,CILLERUELO DE ABAJO,710
916,ARMENTIA,711
917,TREVIÑO,711
918,ESPINOSA DE LOS MONTEROS,712
919,ESTEPAR,713
920,FONTIOSO,714
921,FRANDOVINEZ,715
922,FUENTECEN,716
923,FUENTESPINA,717
924,GUMIEL DE IZAN,718
925,HUERTA DEL REY,719
926,LERMA,720
927,MADRIGALEJO DEL MONTE,721
928,MEDINA DE POMAR,722
929,MELGAR DE FERNAMENTAL,723
930,BERCEDO,724
931,VILLASANTE,724
932,CERNEGULA,725
933,VALLEJO,726
934,MILAGROS,727
935,MIRANDA DE EBRO,728
936,OLMEDILLO DE ROA,729
937,OÑA,730
938,OQUILLAS,731
939,PALACIOS DE LA SIERRA,732
940,PARDILLA,733
941,PUEBLA DE ARGANZON (LA),734
942,QUINTANAPALLA,735
943,QUINTANAR DE LA SIERRA,736
944,VIVAR DEL CID,737
945,QUINTANILLAS (LAS),738
946,REVILLA (LA),739
947,ROA,740
948,RUBENA,741
949,SALAS DE LOS INFANTES,742
950,SANTA MARIA DEL CAMPO,743
951,SARRACIN,744
952,OLMILLOS DE SASAMON,745
953,SOTRESGUDO,746
954,TRESPADERNE,747
955,VADOCONDES,748
956,QUINCOCES DE YUSO,749
957,ENTRAMBASAGUAS,750
958,SANTA CRUZ DE MENA,750
959,SANTECILLA,750
960,ESCALADA,751
961,QUINTANA MARTIN GALINDEZ,752
962,CILLERUELO DE BEZANA,753
963,FUENCALIENTE DE LUCIO,754
964,VILLADIEGO,755
965,VILLAGONZALO PEDERNALES,756
966,VILLALBILLA DE BURGOS,757
967,VILLALMANZO,758
968,VILLANUEVA DE ARGAÑO,759
969,VILLANUEVA DE LAS CARRETAS,760
970,VILLARCAYO,761
971,VILLAZOPEQUE,762
972,AHIGAL,763
973,ALCANTARA,764
974,ALCUESCAR,765
975,ALDEA DEL CANO,766
976,ALDEANUEVA DEL CAMINO,767
977,ALISEDA,768
978,ALMARAZ,769
979,ALMOHARIN,770
980,ARROYO DE LA LUZ,771
