id_estacion,Dirección,Código postal,Latitud,Longitud,Tipo,Rótulo,Tipo venta,Rem.,Margen,id_localidad
86,MUELLE PESQUERO S/Nº,27880,43.660537,-7.254818,maritima,REPSOL,Suministro a pesqueros,OM,A,2421
87,MUELLE PESQUERO S/Nº,27700,43.532759,-7.038707,maritima,REPSOL,Suministro a pesqueros,OM,A,2471
88,MUELLE PESQUERO S/Nº,27863,43.676370,-7.595929,maritima,REPSOL,Suministro a pesqueros,OM,A,4310
89,PUERTO PESQUERO-DEPORTIVO,29640,36.542333,-4.615750,maritima,REPSOL,Mixto,OM,A,2645
90,PUERTO DEPORTIVO DE LA DUQUESA,29691,0,0,maritima,REPSOL,Suministro a barcos deportivos o de recreo,dm,A,2652
91,PUERTO DEPORTIVO MARBELLA,29600,36.505833,-4.889944,maritima,ENERPUS,Suministro a barcos deportivos o de recreo,dm,A,2653
92,PUERTO PESQUEROS/Nº,29751,36.747611,-4.069361,maritima,REPSOL,Mixto,OM,A,4311
93,MUELLE PESQUERO S/N,30880,37.402935,-1.578720,maritima,REPSOL,Suministro a pesqueros,OM,A,2692
94,MUELLE STA. LUCÍA S/Nº,30202,37.597657,-0.975942,maritima,REPSOL,Mixto,OM,A,2707
95,PASEO ALFONSO XII,30202,37.596583,-0.981722,maritima,ROYMAGA PETROELOS,Suministro a barcos deportivos o de recreo,dm,A,2707
96,MUELLE DE LA SAL S/Nº,30370,37.630712,-0.698720,maritima,REPSOL,Mixto,OM,A,2713
97,MUELLE PESQUERO S/Nº,30870,37.563768,-1.255109,maritima,REPSOL,Suministro a pesqueros,OM,A,2750
98,PLAZA DEL MUELLE S/N,30860,37.564000,-1.266250,maritima,NINGUNO,Suministro a barcos deportivos o de recreo,dm,A,2752
99,AV. OLOF PALME S/N,35509,28.965028,-13.537917,maritima,SIN ROTULO,Suministro a barcos deportivos o de recreo,dm,A,3048
100,DIQUE SUR. PUERTO DE MOGAN,35140,27.815861,-15.764056,maritima,REPSOL,Suministro a barcos deportivos o de recreo,dm,A,3062
101,MUELLE DEPORTIVO S/N,35625,28.048722,-14.358750,maritima,H2GO REPSOL MORRO JABLE,Mixto,dm,A,3072
102,DARSENA PESQUERA S/N,35600,28.495639,-13.859889,maritima,REPSOL MUELLE CHICO,Mixto,dm,A,3077
103,CARRETERA GC-500 S/N (ANTIGUA CTRA. C-812) URBANIZACION PASITO BLANCO (VARADERO),35106,27.746944,-15.621667,maritima,DISA,Suministro a barcos deportivos o de recreo,dm,A,3083
104,C/ EL BERRUGO 2,35570,28.857111,-13.816639,maritima,MARINA RUBICON,Suministro a barcos deportivos o de recreo,dm,A,3114
105,LOS PANTALANES S/N,35570,28.915833,-13.705333,maritima,MARINA PUERTO CALERO,Suministro a barcos deportivos o de recreo,dm,A,4312
106,MUELLE PESQUERO S/Nº,36930,42.329376,-8.785126,maritima,REPSOL,Mixto,OM,A,4313
107,MUELLE DE TRAGOVE S/Nº,36630,42.518542,-8.828182,maritima,REPSOL,Mixto,OM,A,3127
108,PUERTO DE CANGAS S/N,36940,42.260472,-8.782528,maritima,COMBUSTIBLES PUERTO DE CANGAS,Mixto,dm,A,3131
109,MUELLE PESQUERO S/Nº,36950,42.274931,-8.735126,maritima,REPSOL,Suministro a pesqueros,OM,A,3160
110,AVENIDA AUGUSTO GONZALEZ BESADA S/N,36960,42.395292,-8.804015,maritima,REPSOL,Suministro a barcos deportivos o de recreo,dm,A,3199
111,MUELLE COMERCIAL S/Nº,36970,42.395833,-8.817778,maritima,REPSOL,Mixto,OM,A,4314
112,AVDA. DE BEIRAMAR 61,36202,42.296598,-8.617904,maritima,REPSOL,Suministro a pesqueros,OM,A,3210
113,MUELLE DE REPARACIONES DE BOUZAS S/N,36208,42.230861,-8.743111,maritima,MARINA DAVILA,Suministro a barcos deportivos o de recreo,dm,A,3210
114,BAJADA A LA LAGOA S/N,36207,42.256194,-8.707083,maritima,REPSOL,Mixto,dm,A,3210
115,PUERTO DE VILANOVA S/N,36620,42.564667,-8.834611,maritima,CARBURANTES PORTO DE VILANOVA,Mixto,dm,A,3221
116,PUERTO DEPORTIVO PUERTO COLON EDF.CAPITANIA 1ª PLANTA,38670,28.079333,-16.737889,maritima,DISA,Suministro a barcos deportivos o de recreo,dm,A,3320
117,MUELLE TRANSVERSAL DEL PUERTO DE LOS CRISTIANOS,38649,28.047917,-16.718694,maritima,NAC MARINE FUEL ,Mixto,dm,A,3332
118,PUERTO DEPORTIVO S/N,38800,28.089583,-17.107028,maritima,DISA,Mixto,dm,A,3399
119,DARSENA DE EMBARCACIONES MENORES PUERTO SANTA CRUZ DE LA PALMA,38700,28.679083,-17.767333,maritima,SIN ROTULO,Suministro a barcos deportivos o de recreo,dm,A,3400
120,PORT CALAFAT,43860,40.927333,0.850278,maritima,ALAS - PORT CALAFAT,Suministro a barcos deportivos o de recreo,dm,A,3608
121,Pº MARITIMO S/N,43882,41.186083,1.607556,maritima,PORT SEGUR CALAFELL S.A.,Suministro a barcos deportivos o de recreo,dm,A,3619
122,PUERTO PESQUERO S/Nº,43850,41.062750,1.061881,maritima,REPSOL,Suministro a pesqueros,OM,A,3621
123,ML PUERTO DELTEBRE,43580,40.717361,0.843167,maritima,CARBURANTS DEL MONTSIÀ,Mixto,dm,A,3627
124,PUERTO S/Nº,43540,40.613861,0.596881,maritima,REPSOL,Suministro a pesqueros,OM,A,3656
125,MUELLE DE REUS S/N,43005,41.106917,1.242194,maritima,VILALTA CORPORACION S.A.,Suministro a pesqueros,dm,A,3666
126,EDIFICIO CAPITANIA S/N,43830,0,0,maritima,LIBRE,Mixto,dm,A,3671
127,MUELLE DR. CAPELLA S/N PUERTO DEPORTIVO,43890,40.988639,0.927694,maritima,REPSOL,Suministro a barcos deportivos o de recreo,dm,A,3676
128,ALFONSO EL MAGNANIMO 41,46780,38.931639,-0.094694,maritima,BP OIL,Suministro a barcos deportivos o de recreo,dm,A,3996
129,PLAZA CORTES VALENCIANAS S/N,46137,39.560333,-0.284167,maritima,POBLA MARINA,Suministro a barcos deportivos o de recreo,dm,A,4008
